dexNumber,name,printingCount,tier,pickerGroupCount,pickerGroupSizes
1,Bulbasaur,37,26-40,3,18|18|1
2,Ivysaur,27,26-40,2,18|9
3,Venusaur,61,61-80,4,18|18|18|7
4,Charmander,58,41-60,4,18|18|18|4
5,Charmeleon,45,41-60,3,18|18|9
6,Charizard,132,121-140,8,18|18|18|18|18|18|18|6
7,Squirtle,37,26-40,3,18|18|1
8,Wartortle,25,01-25,2,18|7
9,Blastoise,57,41-60,4,18|18|18|3
10,Caterpie,25,01-25,2,18|7
11,Metapod,22,01-25,2,18|4
12,Butterfree,29,26-40,2,18|11
13,Weedle,31,26-40,2,18|13
14,Kakuna,27,26-40,2,18|9
15,Beedrill,35,26-40,2,18|17
16,Pidgey,28,26-40,2,18|10
17,Pidgeotto,24,01-25,2,18|6
18,Pidgeot,35,26-40,2,18|17
19,Rattata,34,26-40,2,18|16
20,Raticate,39,26-40,3,18|18|3
21,Spearow,22,01-25,2,18|4
22,Fearow,21,01-25,2,18|3
23,Ekans,23,01-25,2,18|5
24,Arbok,25,01-25,2,18|7
25,Pikachu,223,221-240,13,18|18|18|18|18|18|18|18|18|18|18|18|7
26,Raichu,92,81-100,6,18|18|18|18|18|2
27,Sandshrew,32,26-40,2,18|14
28,Sandslash,30,26-40,2,18|12
29,Nidoran♀,18,01-25,1,18
30,Nidorina,18,01-25,1,18
31,Nidoqueen,22,01-25,2,18|4
32,Nidoran♂,18,01-25,1,18
33,Nidorino,18,01-25,1,18
34,Nidoking,26,26-40,2,18|8
35,Clefairy,49,41-60,3,18|18|13
36,Clefable,38,26-40,3,18|18|2
37,Vulpix,60,41-60,4,18|18|18|6
38,Ninetales,65,61-80,4,18|18|18|11
39,Jigglypuff,46,41-60,3,18|18|10
40,Wigglytuff,41,41-60,3,18|18|5
41,Zubat,36,26-40,2,18|18
42,Golbat,34,26-40,2,18|16
43,Oddish,32,26-40,2,18|14
44,Gloom,31,26-40,2,18|13
45,Vileplume,28,26-40,2,18|10
46,Paras,21,01-25,2,18|3
47,Parasect,19,01-25,2,18|1
48,Venonat,14,01-25,1,14
49,Venomoth,17,01-25,1,17
50,Diglett,39,26-40,3,18|18|3
51,Dugtrio,41,41-60,3,18|18|5
52,Meowth,75,61-80,5,18|18|18|18|3
53,Persian,43,41-60,3,18|18|7
54,Psyduck,46,41-60,3,18|18|10
55,Golduck,30,26-40,2,18|12
56,Mankey,32,26-40,2,18|14
57,Primeape,29,26-40,2,18|11
58,Growlithe,47,41-60,3,18|18|11
59,Arcanine,50,41-60,3,18|18|14
60,Poliwag,25,01-25,2,18|7
61,Poliwhirl,23,01-25,2,18|5
62,Poliwrath,25,01-25,2,18|7
63,Abra,17,01-25,1,17
64,Kadabra,13,01-25,1,13
65,Alakazam,34,26-40,2,18|16
66,Machop,33,26-40,2,18|15
67,Machoke,32,26-40,2,18|14
68,Machamp,60,41-60,4,18|18|18|6
69,Bellsprout,20,01-25,2,18|2
70,Weepinbell,18,01-25,1,18
71,Victreebel,19,01-25,2,18|1
72,Tentacool,19,01-25,2,18|1
73,Tentacruel,19,01-25,2,18|1
74,Geodude,29,26-40,2,18|11
75,Graveler,27,26-40,2,18|9
76,Golem,30,26-40,2,18|12
77,Ponyta,40,26-40,3,18|18|4
78,Rapidash,45,41-60,3,18|18|9
79,Slowpoke,48,41-60,3,18|18|12
80,Slowbro,35,26-40,2,18|17
81,Magnemite,56,41-60,4,18|18|18|2
82,Magneton,53,41-60,3,18|18|17
83,Farfetch'd,27,26-40,2,18|9
84,Doduo,24,01-25,2,18|6
85,Dodrio,22,01-25,2,18|4
86,Seel,21,01-25,2,18|3
87,Dewgong,20,01-25,2,18|2
88,Grimer,35,26-40,2,18|17
89,Muk,43,41-60,3,18|18|7
90,Shellder,17,01-25,1,17
91,Cloyster,17,01-25,1,17
92,Gastly,42,41-60,3,18|18|6
93,Haunter,40,26-40,3,18|18|4
94,Gengar,62,61-80,4,18|18|18|8
95,Onix,36,26-40,2,18|18
96,Drowzee,31,26-40,2,18|13
97,Hypno,30,26-40,2,18|12
98,Krabby,13,01-25,1,13
99,Kingler,14,01-25,1,14
100,Voltorb,47,41-60,3,18|18|11
101,Electrode,54,41-60,3,18|18|18
102,Exeggcute,40,26-40,3,18|18|4
103,Exeggutor,60,41-60,4,18|18|18|6
104,Cubone,30,26-40,2,18|12
105,Marowak,32,26-40,2,18|14
106,Hitmonlee,19,01-25,2,18|1
107,Hitmonchan,30,26-40,2,18|12
108,Lickitung,28,26-40,2,18|10
109,Koffing,34,26-40,2,18|16
110,Weezing,37,26-40,3,18|18|1
111,Rhyhorn,30,26-40,2,18|12
112,Rhydon,24,01-25,2,18|6
113,Chansey,31,26-40,2,18|13
114,Tangela,36,26-40,2,18|18
115,Kangaskhan,45,41-60,3,18|18|9
116,Horsea,34,26-40,2,18|16
117,Seadra,27,26-40,2,18|9
118,Goldeen,26,26-40,2,18|8
119,Seaking,22,01-25,2,18|4
120,Staryu,36,26-40,2,18|18
121,Starmie,43,41-60,3,18|18|7
122,Mr. Mime,43,41-60,3,18|18|7
123,Scyther,37,26-40,3,18|18|1
124,Jynx,33,26-40,2,18|15
