Title,Sold Price,Date
"Union Arena TCG - Yu Yu Hakusho: Toya (UE13BT/YYH-1-020) - Uncommon - Near Mint",1.50,"May 14, 2026"
"2003 Yu Yu Hakusho Ghost Files Foil Burst of Power TCG Card Ungraded SIP RARE",50.00,"May 14, 2026"
"Score Yusuke Unleashed Holo Yu Yu Hakusho TCG 2003 Card S21",9.00,"May 13, 2026"
"Yu Yu Hakusho TCG Yusuke Unleashed S21 Dark Tournament Unlimited Spirit Rare",12.01,"May 13, 2026"
"Union Arena TCG Yu Yu Hakusho Yusuke Urameshi UEPR/YYH-1-036 Release Event Promo",9.99,"May 9, 2026"
"Yu Yu Hakusho TCG CCG Energy Spiral L9 Exile League Card NM",14.99,"May 9, 2026"
"Yu Yu Hakusho TCG CCG Genkai Young Fighter TR7 Spirit Pack 2 Card NM",17.99,"May 9, 2026"
"Yu Yu Hakusho TCG CCG Burst of Power G178/176 Unlimited LP",15.50,"May 8, 2026"
"Yu Yu Hakusho TCG School Girl Outfit S139 Ghost Files Unlimited Spirit RareLP-MP",3.00,"May 8, 2026"
"Yu Yu Hakusho TCG CCG S51/176 Touya, The Ice Master Spirit RARE (Unlimited) Card",4.99,"May 8, 2026"
"Kayko's Promise 1ST EDITION Yu Yu Hakusho TCG CCG S105/176 2003 See Desc",1.99,"May 8, 2026"
"BANG! Holo Ghost Files Yu Yu Hakusho TCG 2003 Card 1st Edition",10.00,"May 8, 2026"
